Language,Model,Feature,Importance
python,random_forest, # ,0.015161637171894431
python,random_forest, = ,0.01449042608837002
python,random_forest,) # ,0.013660706992357332
python,random_forest,) #,0.01194300476220846
python,random_forest, ==,0.011584001896834388
python,random_forest, == ,0.00970771552656903
python,random_forest,# c,0.009084558541706964
python,random_forest, = i,0.008836270231767876
python,random_forest, di,0.008085029067380407
python,random_forest,": "")",0.007850895583160529
python,random_forest,e #,0.006724628063261109
python,random_forest,le ,0.006602062507341178
python,random_forest, exa,0.0064422850946767715
python,random_forest, 0 ,0.006044468759652793
python,random_forest,() ,0.005876441044049719
python,random_forest,= in,0.005852052802830884
python,random_forest, inpu,0.005492906484318834
python,random_forest,ple,0.00529285919452162
python,random_forest,ta ,0.004916403209816083
python,random_forest," "")",0.004852805845099107
python,gradient_boost,) # ,0.5021245597466839
python,gradient_boost,= 0,0.12089708745142085
python,gradient_boost,ting,0.10876655308479538
python,gradient_boost,", m",0.04423896936217627
python,gradient_boost, = ,0.03916502431992154
python,gradient_boost,): de,0.026911461391771203
python,gradient_boost,t(): ,0.022563052951366475
python,gradient_boost,"0, ",0.021438820929745025
python,gradient_boost,t():,0.01786190990018611
python,gradient_boost,dis,0.014737407185738736
python,gradient_boost,= i,0.008919482014888715
python,gradient_boost, sy,0.008256847555793733
python,gradient_boost, ==,0.007322000429726717
python,gradient_boost,l_c,0.006497559079223485
python,gradient_boost,t(l,0.005823150686638693
python,gradient_boost,new,0.005247747712855643
python,gradient_boost,th se,0.004252114488866274
python,gradient_boost,s m,0.0034526877867205328
python,gradient_boost,om ,0.003448438776767358
python,gradient_boost,(se,0.0028077707890940763
python,xgboost,) # ,0.07029169797897339
python,xgboost,) re,0.048394788056612015
python,xgboost,): de,0.04449925199151039
python,xgboost,e = s,0.027824580669403076
python,xgboost," "")",0.027025844901800156
python,xgboost, as ,0.026821527630090714
python,xgboost,ting,0.026049546897411346
python,xgboost,om ,0.025265686213970184
python,xgboost,(ob,0.023414742201566696
python,xgboost,imp,0.02036905288696289
python,xgboost,=in,0.019392024725675583
python,xgboost,": "")",0.01934531144797802
python,xgboost, no,0.018869958817958832
python,xgboost,ame ,0.01885909028351307
python,xgboost,ers ,0.018447088077664375
python,xgboost,# c,0.017273949459195137
python,xgboost,n a,0.016545357182621956
python,xgboost, == ,0.016252513974905014
python,xgboost,= i,0.016230342909693718
python,xgboost,bjec,0.01603684201836586
java,random_forest, args){,0.022222222222222223
java,random_forest, //,0.019552486507046916
java,random_forest,for ,0.018849175970228605
java,random_forest,args){ ,0.01695151515151515
java,random_forest,gs){ ,0.015
java,random_forest,gs){,0.01375
java,random_forest," "" + ",0.013401484480431849
java,random_forest,args){,0.013259259259259259
java,random_forest,ate ,0.012255421651851348
java,random_forest,hum,0.011392747266717518
java,random_forest,human,0.011133838383838383
java,random_forest, ai,0.010814814814814812
java,random_forest,uman,0.01
java,random_forest,rgs){ ,0.01
java,random_forest,uma,0.009778002123809096
java,random_forest,nd ,0.009650386215092097
java,random_forest,args),0.009573529411764705
java,random_forest,=new,0.009442382666066874
java,random_forest,te ,0.009239533551956286
java,random_forest,s){,0.008666666666666666
java,gradient_boost,args){ ,0.20607243062955158
java,gradient_boost,args){,0.19218968827150942
java,gradient_boost,rgs){,0.18223568356890987
java,gradient_boost, args){,0.18214756744160446
java,gradient_boost,rgs){ ,0.15907041271810218
java,gradient_boost,gs){ ,0.0421375564388042
java,gradient_boost,gs){,0.0361466609315183
java,gradient_boost,} r,0.0
java,gradient_boost, (i,0.0
java,gradient_boost, - ,0.0
java,gradient_boost,} } voi,0.0
java,gradient_boost,} } vo,0.0
java,gradient_boost,} } v,0.0
java,gradient_boost,} } ret,0.0
java,gradient_boost,} } re,0.0
java,gradient_boost,} } r,0.0
java,gradient_boost,} } pub,0.0
java,gradient_boost,}catc,0.0
java,gradient_boost,} } p,0.0
java,gradient_boost,} } lis,0.0
java,xgboost, args){,0.3145126402378082
java,xgboost,args){ ,0.29854685068130493
java,xgboost, //,0.20760522782802582
java,xgboost,args){,0.10219522565603256
java,xgboost,hum,0.055430177599191666
java,xgboost,mpl,0.011059504002332687
java,xgboost,} } p,0.009945308789610863
java,xgboost, // ,0.0007050195126794279
java,xgboost, (i,0.0
java,xgboost, - ,0.0
java,xgboost,} } voi,0.0
java,xgboost,} } vo,0.0
java,xgboost,} } v,0.0
java,xgboost,} } ret,0.0
java,xgboost,} } re,0.0
java,xgboost,} } r,0.0
java,xgboost,} } pub,0.0
java,xgboost,}catc,0.0
java,xgboost,} } lis,0.0
java,xgboost,} } li,0.0
js,random_forest,= ,0.018132115150071806
js,random_forest, // ,0.013085502217081164
js,random_forest, { co,0.012175325531874798
js,random_forest,) { co,0.011092626214365344
js,random_forest,um,0.01083185246770773
js,random_forest,if ,0.010491228070175438
js,random_forest,// ai,0.010171124017474024
js,random_forest, =,0.01015127449594091
js,random_forest,s ,0.009577952233524988
js,random_forest,ated ,0.008817293233082706
js,random_forest,/ ai-,0.008573691014867485
js,random_forest, => ,0.008568718707523959
js,random_forest,) { c,0.008545481490107356
js,random_forest,h ,0.007807863862456747
js,random_forest, => {,0.00769551282051282
js,random_forest,){ co,0.007650712458896603
js,random_forest, an,0.007644193061840119
js,random_forest, ai-,0.007513958810068649
js,random_forest,o ,0.007416641656662663
js,random_forest, { ,0.007032010684390715
js,gradient_boost, { con,0.25706428323814356
js,gradient_boost, { co,0.24417174008064935
js,gradient_boost, { c,0.1315877068292629
js,gradient_boost,s ,0.047507917826182224
js,gradient_boost, =,0.03933511500765239
js,gradient_boost,ogo,0.03228552278068412
js,gradient_boost,ser,0.026218538532828746
js,gradient_boost,onst,0.021396641440899727
js,gradient_boost,ap((,0.021160128784474236
js,gradient_boost, // r,0.01735720265361042
js,gradient_boost,) => ,0.01715168397723829
js,gradient_boost,onst ,0.016010092917528113
js,gradient_boost,ta =,0.013928598595565281
js,gradient_boost,ser ,0.01153042585315335
js,gradient_boost,nd,0.011331860207520755
js,gradient_boost,ti,0.009406420289728285
js,gradient_boost,data,0.00924298621090362
js,gradient_boost,ffec,0.0075129986622822255
js,gradient_boost,(user,0.006268212629260026
js,gradient_boost,} from,0.006125538734487711
js,xgboost, = ,0.19403362274169922
js,xgboost, /,0.10017149895429611
js,xgboost, and,0.07466800510883331
js,xgboost,) =,0.07038689404726028
js,xgboost, =,0.06929870694875717
js,xgboost,um,0.06303327530622482
js,xgboost, an,0.04848616197705269
js,xgboost,s ,0.043256934732198715
js,xgboost,: ,0.042540621012449265
js,xgboost, { c,0.03663913905620575
js,xgboost, if ,0.02760385535657406
js,xgboost,ing,0.02367355115711689
js,xgboost,)} <,0.022006306797266006
js,xgboost,", ",0.01905798725783825
js,xgboost,le.,0.018260689452290535
js,xgboost, { ,0.013867964968085289
js,xgboost,or ,0.013301110826432705
js,xgboost, } },0.012441718950867653
js,xgboost,h ,0.01136042270809412
js,xgboost,)},0.011351076886057854
